name,n1,value
Fulton,15287073,32401953
Gwinnett,5428144,21084745
DeKalb,13126980,20900748
Cobb,8319854,18838754
Chatham,3830645,8058927
Clayton,3604187,7614302
Henry,1451758,7035046
Cherokee,1273443,5921302
Richmond,3115184,5479563
Bibb,3185705,5466728
Forsyth,823407,5254483
Hall,2108671,5028363
Bartow,2179583,4763658
Douglas,1620050,4456090
Muscogee,2230346,4442548
Coweta,1470905,4382608
Lowndes,1931302,3674606
Houston,1716142,3631046
Whitfield,2013779,3533336
Carroll,1795832,3297332
Fayette,649009,3192933
Paulding,492769,3192404
Newton,733046,3050554
Rockdale,766788,2938064
Glynn,1450561,2935400
Columbia,988640,2821354
Jackson,1094537,2749429
Troup,1288091,2706802
Clarke,1648093,2700499
Floyd,1504878,2660121
Dougherty,1822034,2374794
Walton,541326,2313596
Monroe,1221738,2271989
Bulloch,806259,2260525
Catoosa,1216502,2159023
Gordon,1248315,2111949
Camden,1035242,2091131
Laurens,1034845,2003082
Barrow,432740,1924954
Spalding,857754,1906538
Liberty,994939,1903547
Tift,1017213,1757454
Bryan,694168,1669863
Walker,823374,1454462
Peach,670002,1396867
Franklin,835850,1365454
Oconee,303429,1277888
Thomas,745006,1274612
Habersham,543118,1235222
Effingham,342734,1223904
Morgan,484531,1217407
Crisp,810451,1188331
Harris,449998,1184143
McIntosh,725272,1183202
Ware,692517,1180825
Cook,686478,1135231
Colquitt,658995,1090894
Dooly,717614,1078588
Polk,487066,1049384
Baldwin,645724,1017613
Coffee,572568,1001666
Emanuel,520432,929531
Decatur,595623,920323
Haralson,438896,916503
McDuffie,527395,910972
Butts,407950,890745
Pickens,356677,855072
Wayne,443251,847938
Murray,461121,844828
Greene,352922,838588
Dade,504715,838182
Turner,542678,811127
Twiggs,433945,788417
Burke,667002,780303
Toombs,458660,778401
Jones,379792,774118
Meriwether,429899,768816
Worth,501505,765635
Sumter,508818,760026
Madison,349660,746253
Lee,285581,735437
Gilmer,322917,731708
Banks,306700,712438
Grady,367163,683548
Hart,362408,680205
Mitchell,465833,677168
Dawson,198887,642827
Putnam,272095,642266
Stephens,333402,636520
Appling*,,628243
Lamar,297071,625535
Lumpkin,228128,612463
Upson,429881,610368
Washington,355093,608185
Union,191521,595614
Fannin,738938,595385
Jefferson,412864,583244
Chattooga,366619,575600
Candler,272535,574637
White,256848,559371
Dodge,341158,555197
Tattnall,332888,531126
Elbert,289607,500448
Rabun,313845,490727
Warren,339853,489931
Treutlen,228740,483592
Brooks,327054,477997
Pierce,282952,451479
Berrien,288670,448162
Pike,179488,440893
Screven,298637,423777
Brantley,242793,419127
Ben Hill,241597,393064
Macon,216878,390146
Early,303549,388083
Terrell,251819,386770
Wilkinson,247107,381646
Bleckley,214394,376584
Charlton,236546,374433
Jeff Davis,260217,373137
Oglethorpe,175943,359446
Long,197210,352911
Jasper,175441,345886
Telfair,217083,330003
Wilkes,294703,323180
Taylor,148166,316789
Irwin,228872,304885
Pulaski,169833,296076
Taliaferro,129111,294954
Bacon,216118,290646
Heard,149638,290624
Towns,112992,289995
Crawford,179099,289652
Talbot,174594,279260
Atkinson,166569,274825
Evans,187674,272342
Jenkins,184131,270170
Montgomery,163940,260715
Clinch,193464,259232
Seminole,176700,253214
Stewart,140321,234290
Johnson,145265,231609
Randolph,172884,226172
Hancock,158203,222561
Miller,157780,212509
Lincoln,125222,210296
Lanier,131872,208330
Wilcox,135059,208041
Chattahoochee,154773,207826
Wheeler,159745,204923
Marion,107498,192696
Calhoun,122659,165322
Baker,126963,145733
Webster,75570,132024
Schley,75944,114542
Clay,58805,107045
Quitman,63450,101448
Echols,65737,94288
Glascock,48137,75031